Date,Open,High,Low,Close,Volume,HML,PCT
1993-12-14,22.38,22.5,22.25,22.5,7437850.0,1.1235955056179776,0.5361930294906211
1993-12-15,22.5,22.5,22.25,22.5,1767442.0,1.1235955056179776,0.0
1993-12-16,22.5,22.63,22.38,22.5,602042.0,1.1170688114387846,0.0
1993-12-17,22.5,22.5,22.38,22.38,472900.0,0.5361930294906211,-0.5333333333333378
1993-12-20,22.38,22.5,22.38,22.5,526335.0,0.5361930294906211,0.5361930294906211
1993-12-21,22.38,22.5,22.25,22.38,300191.0,1.1235955056179776,0.0
1993-12-22,22.38,22.5,22.38,22.5,264926.0,0.5361930294906211,0.5361930294906211
1993-12-23,22.5,22.5,22.38,22.5,142036.0,0.5361930294906211,0.0
1993-12-27,22.5,22.5,22.38,22.38,158350.0,0.5361930294906211,-0.5333333333333378
1993-12-28,22.38,22.5,22.38,22.5,273229.0,0.5361930294906211,0.5361930294906211
1993-12-29,22.5,22.63,22.38,22.5,247245.0,1.1170688114387846,0.0
1993-12-30,22.63,22.63,22.5,22.5,148190.0,0.5777777777777733,-0.5744586831639373
1993-12-31,22.5,22.63,22.38,22.63,193615.0,1.1170688114387846,0.5777777777777733
1994-01-03,22.5,22.63,22.5,22.5,300874.0,0.5777777777777733,0.0
1994-01-04,22.63,22.63,22.5,22.63,227903.0,0.5777777777777733,0.0
1994-01-05,22.5,22.75,22.5,22.5,231419.0,1.1111111111111112,0.0
1994-01-06,22.5,22.63,22.5,22.5,145162.0,0.5777777777777733,0.0
1994-01-07,22.63,22.75,22.5,22.75,301363.0,1.1111111111111112,0.5302695536897968
1994-01-10,22.75,23.13,22.63,23.0,420443.0,2.209456473707468,1.098901098901099
1994-01-11,22.88,23.5,22.88,23.25,495954.0,2.709790209790214,1.6171328671328717
1994-01-12,23.38,23.38,23.25,23.25,351085.0,0.5591397849462323,-0.5560307955517494
1994-01-13,23.25,23.63,23.25,23.63,405204.0,1.6344086021505333,1.6344086021505333
1994-01-14,23.63,23.75,23.25,23.5,401980.0,2.1505376344086025,-0.5501481168006729
1994-01-17,23.63,23.63,23.38,23.5,159620.0,1.0692899914456802,-0.5501481168006729
1994-01-18,23.38,23.63,23.38,23.63,330962.0,1.0692899914456802,1.0692899914456802
1994-01-19,23.5,23.5,23.38,23.5,247049.0,0.5132591958939307,0.0
1994-01-20,23.5,23.63,23.38,23.63,212468.0,1.0692899914456802,0.5531914893616979
1994-01-21,23.5,23.75,23.38,23.63,243630.0,1.582549187339611,0.5531914893616979
1994-01-24,23.5,23.63,23.38,23.38,349718.0,1.0692899914456802,-0.5106382978723446
1994-01-25,23.25,23.63,23.25,23.63,257697.0,1.6344086021505333,1.6344086021505333
1994-01-26,23.75,24.25,23.75,24.0,821934.0,2.1052631578947367,1.0526315789473684
1994-01-27,24.13,24.63,24.0,24.5,571954.0,2.6249999999999956,1.533360961458769
1994-01-28,24.5,24.63,24.25,24.63,438710.0,1.5670103092783463,0.5306122448979551
1994-01-31,24.63,24.63,24.38,24.5,363980.0,1.0254306808859721,-0.5278116118554568
1994-02-01,24.63,25.0,24.5,25.0,455024.0,2.0408163265306123,1.502233049127085
1994-02-02,25.0,25.0,24.75,24.88,227903.0,1.0101010101010102,-0.4800000000000039
1994-02-03,25.0,25.25,24.75,24.88,1500660.0,2.0202020202020203,-0.4800000000000039
1994-02-04,24.88,24.88,24.13,24.38,601065.0,3.1081641110650646,-2.009646302250804
1994-02-07,24.38,24.63,24.13,24.5,421517.0,2.0721094073767095,0.49220672682527067
1994-02-08,24.63,25.0,24.63,25.0,790870.0,1.502233049127085,1.502233049127085
1994-02-09,24.88,25.0,24.63,24.75,491558.0,1.502233049127085,-0.522508038585205
1994-02-10,24.75,24.88,24.25,24.63,993960.0,2.597938144329893,-0.48484848484848886
1994-02-11,24.75,25.38,24.75,25.25,274597.0,2.5454545454545414,2.0202020202020203
1994-02-14,25.25,26.0,25.25,25.63,991127.0,2.9702970297029703,1.5049504950495012
1994-02-15,25.75,25.88,25.0,25.38,1468814.0,3.519999999999996,-1.436893203883499
1994-02-16,25.38,25.63,25.25,25.63,321877.0,1.5049504950495012,0.9850275807722617
1994-02-17,25.5,25.88,25.5,25.88,327836.0,1.4901960784313686,1.4901960784313686
1994-02-18,25.75,25.88,25.38,25.88,322756.0,1.9700551615445234,0.504854368932035
1994-02-22,25.75,26.13,25.75,26.0,267856.0,1.4757281553398018,0.9708737864077669
1994-02-23,26.13,26.38,25.88,26.38,392602.0,1.9319938176197835,0.9567546880979718
1994-02-24,26.38,26.63,26.13,26.63,314355.0,1.9135093761959436,0.9476876421531463
1994-02-25,26.5,26.63,26.25,26.5,268931.0,1.4476190476190438,0.0
1994-02-28,26.5,26.5,25.75,25.75,266196.0,2.912621359223301,-2.8301886792452833
1994-03-01,25.5,26.25,25.5,26.13,579086.0,2.941176470588235,2.4705882352941138
1994-03-02,25.75,26.25,25.5,26.25,304489.0,2.941176470588235,1.9417475728155338
1994-03-03,26.38,26.38,25.75,26.0,354211.0,2.4466019417475686,-1.4404852160727786
1994-03-04,26.0,26.38,25.75,26.0,314648.0,2.4466019417475686,0.0
1994-03-07,26.0,26.5,26.0,26.5,278407.0,1.9230769230769231,1.9230769230769231
1994-03-08,26.5,26.5,26.38,26.38,232787.0,0.454890068233514,-0.452830188679249
1994-03-09,26.38,26.88,26.25,26.5,260921.0,2.3999999999999964,0.454890068233514
1994-03-10,26.63,27.0,26.5,26.5,336725.0,1.8867924528301887,-0.4881712354487383
1994-03-11,26.63,27.25,26.5,27.0,306052.0,2.8301886792452833,1.3894104393541158
1994-03-14,27.0,27.25,26.88,27.13,218720.0,1.3764880952380991,0.4814814814814778
1994-03-15,27.13,27.5,26.75,27.25,256622.0,2.803738317757009,0.4423147806855916
1994-03-16,27.5,27.88,27.25,27.5,234350.0,2.3119266055045835,0.0
1994-03-17,27.5,27.63,26.75,26.75,272252.0,3.2897196261682207,-2.727272727272727
1994-03-18,26.75,27.63,26.75,27.63,271764.0,3.2897196261682207,3.2897196261682207
1994-03-21,27.63,27.88,27.38,27.5,133733.0,1.8261504747991237,-0.4705030763662649
1994-03-22,27.5,27.5,26.88,27.5,205923.0,2.306547619047623,0.0
1994-03-23,27.5,28.0,27.5,28.0,424643.0,1.8181818181818181,1.8181818181818181
1994-03-24,28.0,28.0,27.38,27.75,174859.0,2.2644265887509167,-0.8928571428571428
1994-03-25,27.63,28.0,27.5,27.75,313378.0,1.8181818181818181,0.4343105320304053
1994-03-28,27.63,27.63,26.63,26.63,204458.0,3.755163349605708,-3.6192544335866814
1994-03-29,26.63,26.63,25.75,25.88,465281.0,3.4174757281553356,-2.816372512204281
1994-03-30,25.25,25.88,24.0,25.88,302828.0,7.8333333333333295,2.495049504950491
1994-03-31,25.88,26.13,25.5,25.63,200355.0,2.4705882352941138,-0.9659969088098918
1994-04-04,24.0,25.88,23.63,25.0,216571.0,9.52179432924249,4.166666666666666
1994-04-05,25.25,25.88,25.25,25.63,191466.0,2.495049504950491,1.5049504950495012
1994-04-06,25.88,26.25,25.38,26.0,309275.0,3.4278959810874747,0.46367851622875195
1994-04-07,26.0,26.0,25.88,25.88,171049.0,0.46367851622875195,-0.4615384615384654
1994-04-08,26.0,26.0,25.75,25.88,111753.0,0.9708737864077669,-0.4615384615384654
1994-04-11,25.88,25.88,25.63,25.88,167825.0,0.9754194303550527,0.0
1994-04-12,25.88,25.88,25.63,25.88,147995.0,0.9754194303550527,0.0
1994-04-13,25.88,25.88,25.63,25.75,117712.0,0.9754194303550527,-0.50231839258114
1994-04-14,25.88,26.25,25.75,26.25,167532.0,1.9417475728155338,1.4296754250386436
1994-04-15,26.13,26.13,25.63,25.75,92411.0,1.9508388607101055,-1.4542671259089133
1994-04-18,25.88,26.13,25.63,26.0,80884.0,1.9508388607101055,0.46367851622875195
1994-04-19,26.13,26.13,25.75,25.88,102082.0,1.4757281553398018,-0.9567546880979718
1994-04-20,26.0,26.0,25.63,25.75,75219.0,1.4436207569254818,-0.9615384615384616
1994-04-21,25.88,26.13,25.63,25.75,80005.0,1.9508388607101055,-0.50231839258114
1994-04-22,25.88,26.13,25.38,25.5,147214.0,2.955082742316785,-1.4683153013910317
1994-04-25,25.63,25.75,25.5,25.63,174077.0,0.9803921568627451,0.0
1994-04-26,25.75,25.88,25.63,25.63,143111.0,0.9754194303550527,-0.466019417475732
1994-04-28,25.63,25.88,25.63,25.88,131584.0,0.9754194303550527,0.9754194303550527
1994-04-29,25.88,26.75,25.75,26.75,143013.0,3.8834951456310676,3.361669242658427
