Date,Open,High,Low,Close,Volume,HML,PCT
1996-08-23,9.5,9.5,9.0,9.25,1258800.0,5.555555555555555,-2.631578947368421
1996-08-26,9.25,9.25,9.12,9.25,147500.0,1.4254385964912368,0.0
1996-08-27,9.25,10.0,9.12,9.88,234200.0,9.649122807017553,6.810810810810819
1996-08-28,10.0,11.0,9.75,10.25,191600.0,12.82051282051282,2.5
1996-08-29,10.25,10.5,10.0,10.0,148600.0,5.0,-2.4390243902439024
1996-08-30,10.0,10.0,9.38,9.75,44600.0,6.609808102345408,-2.5
1996-09-03,9.75,9.75,8.75,9.12,82300.0,11.428571428571429,-6.46153846153847
1996-09-04,9.0,9.5,9.0,9.5,40500.0,5.555555555555555,5.555555555555555
1996-09-05,9.5,9.5,9.0,9.12,33000.0,5.555555555555555,-4.000000000000008
1996-09-06,8.88,9.12,8.75,9.0,47700.0,4.22857142857142,1.3513513513513424
1996-09-09,9.25,10.12,9.25,9.5,63500.0,9.405405405405396,2.7027027027027026
1996-09-10,9.5,9.5,9.25,9.25,3600.0,2.7027027027027026,-2.631578947368421
1996-09-11,9.25,9.62,9.25,9.38,58400.0,3.9999999999999916,1.4054054054054137
1996-09-12,9.38,10.0,9.38,9.38,8200.0,6.609808102345408,0.0
1996-09-13,9.38,9.5,9.25,9.38,19700.0,2.7027027027027026,0.0
1996-09-16,9.25,9.5,9.25,9.38,36600.0,2.7027027027027026,1.4054054054054137
1996-09-17,9.25,9.5,9.25,9.25,43100.0,2.7027027027027026,0.0
1996-09-18,9.5,9.5,9.0,9.0,22200.0,5.555555555555555,-5.263157894736842
1996-09-19,8.75,8.75,8.75,8.75,1500.0,0.0,0.0
1996-09-20,9.12,9.38,9.0,9.12,3800.0,4.22222222222223,0.0
1996-09-23,9.5,9.5,9.0,9.25,8400.0,5.555555555555555,-2.631578947368421
1996-09-24,8.88,9.38,8.75,8.75,53500.0,7.200000000000009,-1.4639639639639725
1996-09-25,9.25,9.38,9.0,9.38,15200.0,4.22222222222223,1.4054054054054137
1996-09-26,9.25,9.25,9.125,9.25,29300.0,1.36986301369863,0.0
1996-09-27,9.25,10.0,9.125,9.875,26700.0,9.58904109589041,6.756756756756757
1996-09-30,10.0,10.0,9.375,9.75,11500.0,6.666666666666667,-2.5
1996-10-01,9.25,9.25,8.75,8.75,11600.0,5.714285714285714,-5.405405405405405
1996-10-02,9.12,9.12,8.88,9.12,14500.0,2.702702702702685,0.0
1996-10-03,9.125,9.75,8.75,9.125,1700.0,11.428571428571429,0.0
1996-10-04,9.0,9.5,9.0,9.5,15000.0,5.555555555555555,5.555555555555555
1996-10-07,8.75,8.88,8.75,8.88,38500.0,1.4857142857142946,1.4857142857142946
1996-10-08,8.75,9.25,8.75,8.75,72700.0,5.714285714285714,0.0
1996-10-09,9.25,10.125,9.25,9.5,41500.0,9.45945945945946,2.7027027027027026
1996-10-10,9.5,9.5,9.25,9.25,24500.0,2.7027027027027026,-2.631578947368421
1996-10-11,9.25,9.625,9.25,9.375,24800.0,4.054054054054054,1.3513513513513513
1996-10-14,8.25,8.75,8.25,8.38,28200.0,6.0606060606060606,1.5757575757575852
1996-10-15,8.75,8.75,8.38,8.5,24800.0,4.41527446300715,-2.857142857142857
1996-10-16,9.25,9.5,9.25,9.375,45700.0,2.7027027027027026,1.3513513513513513
1996-10-17,9.25,9.5,9.25,9.25,25000.0,2.7027027027027026,0.0
1996-10-18,9.25,9.5,9.0,9.0,40800.0,5.555555555555555,-2.7027027027027026
1996-10-21,8.25,8.25,8.0,8.12,16600.0,3.125,-1.5757575757575852
1996-10-22,8.25,8.25,7.88,7.88,10800.0,4.69543147208122,-4.484848484848486
1996-10-23,8.875,9.375,8.875,8.875,3400.0,5.633802816901409,0.0
1996-10-24,8.875,9.375,8.75,8.75,13200.0,7.142857142857142,-1.4084507042253522
1996-10-25,9.25,9.375,9.0,9.375,72200.0,4.166666666666666,1.3513513513513513
1996-10-28,7.88,8.0,7.75,7.88,18700.0,3.225806451612903,0.0
1996-10-29,8.25,8.25,7.88,7.88,3800.0,4.69543147208122,-4.484848484848486
1996-10-30,9.75,9.75,9.125,9.125,3900.0,6.8493150684931505,-6.41025641025641
1996-10-31,8.25,8.25,7.38,7.38,579000.0,11.788617886178864,-10.545454545454547
1996-11-01,9.25,9.25,8.75,8.75,58500.0,5.714285714285714,-5.405405405405405
1996-11-04,8.75,9.125,8.75,8.75,30800.0,4.285714285714286,0.0
1996-11-05,7.75,7.75,7.75,7.75,0.0,0.0,0.0
1996-11-06,7.75,8.0,7.5,7.75,12500.0,6.666666666666667,0.0
1996-11-07,8.75,8.875,8.75,8.875,29000.0,1.4285714285714286,1.4285714285714286
1996-11-08,8.75,9.25,8.75,8.75,2300.0,5.714285714285714,0.0
1996-11-11,8.5,8.875,8.25,8.25,3700.0,7.575757575757576,-2.941176470588235
1996-11-12,8.38,8.5,8.38,8.5,2300.0,1.4319809069212315,1.4319809069212315
1996-11-13,8.5,8.75,8.25,8.38,202500.0,6.0606060606060606,-1.4117647058823437
1996-11-14,8.25,8.75,8.25,8.375,3000.0,6.0606060606060606,1.5151515151515151
1996-11-15,8.75,8.75,8.375,8.5,13400.0,4.477611940298507,-2.857142857142857
1996-11-18,8.0,8.25,7.875,8.25,193600.0,4.761904761904762,3.125
1996-11-19,8.25,8.25,7.75,7.75,5600.0,6.451612903225806,-6.0606060606060606
1996-11-20,7.75,8.0,7.75,8.0,2000.0,3.225806451612903,3.225806451612903
1996-11-21,8.25,8.25,8.0,8.125,21600.0,3.125,-1.5151515151515151
1996-11-22,8.25,8.25,7.875,7.875,5900.0,4.761904761904762,-4.545454545454546
1996-11-25,8.0,8.0,7.75,8.0,12600.0,3.225806451612903,0.0
1996-11-26,7.75,8.0,7.75,8.0,1100.0,3.225806451612903,3.225806451612903
1996-11-27,7.75,8.0,7.75,7.75,6800.0,3.225806451612903,0.0
1996-11-29,8.25,8.25,7.875,7.875,100.0,4.761904761904762,-4.545454545454546
1996-12-02,7.88,7.88,7.62,7.62,10200.0,3.4120734908136456,-3.2994923857867993
1996-12-03,7.62,7.75,7.25,7.75,12700.0,6.896551724137931,1.7060367454068228
1996-12-04,7.5,7.75,7.5,7.75,6300.0,3.3333333333333335,3.3333333333333335
1996-12-05,7.62,7.75,7.62,7.75,14500.0,1.7060367454068228,1.7060367454068228
1996-12-06,7.75,8.0,7.5,7.75,0.0,6.666666666666667,0.0
1996-12-09,7.38,7.38,7.38,7.38,6000.0,0.0,0.0
1996-12-10,7.75,7.75,7.25,7.75,6100.0,6.896551724137931,0.0
1996-12-11,8.75,8.75,8.375,8.5,18000.0,4.477611940298507,-2.857142857142857
1996-12-12,8.5,8.5,8.375,8.5,1100.0,1.4925373134328357,0.0
1996-12-13,8.5,8.75,8.25,8.375,10000.0,6.0606060606060606,-1.4705882352941175
1996-12-16,7.0,7.38,7.0,7.12,35000.0,5.428571428571427,1.7142857142857157
1996-12-17,7.12,7.5,7.12,7.5,40600.0,5.337078651685392,5.337078651685392
1996-12-18,8.625,8.75,8.0,8.5,9800.0,9.375,-1.4492753623188406
1996-12-19,8.25,8.25,7.75,7.75,71200.0,6.451612903225806,-6.0606060606060606
1996-12-20,8.0,8.0,7.75,8.0,200.0,3.225806451612903,0.0
1996-12-23,8.0,9.25,8.0,9.25,37100.0,15.625,15.625
1996-12-24,9.12,9.12,8.75,8.75,800.0,4.22857142857142,-4.057017543859641
1996-12-26,7.75,8.0,7.75,8.0,8600.0,3.225806451612903,3.225806451612903
1996-12-27,7.75,8.0,7.75,7.75,9000.0,3.225806451612903,0.0
1996-12-30,8.75,9.25,8.75,9.12,16600.0,5.714285714285714,4.22857142857142
1996-12-31,8.75,11.75,8.75,11.5,75500.0,34.285714285714285,31.428571428571427
1997-01-02,11.5,11.75,9.5,10.25,93200.0,23.684210526315788,-10.869565217391305
1997-01-03,10.63,10.63,10.0,10.13,53000.0,6.300000000000009,-4.703668861712136
1997-01-06,10.0,10.25,9.5,10.0,9900.0,7.894736842105263,0.0
1997-01-07,10.13,10.13,10.0,10.0,12800.0,1.3000000000000078,-1.283316880552821
1997-01-08,10.13,10.25,10.0,10.25,6500.0,2.5,1.1846001974333584
1997-01-09,10.25,10.25,9.875,10.25,1000.0,3.79746835443038,0.0
1997-01-10,10.0,10.0,10.0,10.0,300.0,0.0,0.0
1997-01-13,9.875,10.5,9.875,9.875,3600.0,6.329113924050633,0.0
1997-01-14,10.5,11.0,10.0,10.75,32600.0,10.0,2.380952380952381
1997-01-15,11.0,11.5,11.0,11.12,147300.0,4.545454545454546,1.090909090909084
1997-01-16,11.38,11.38,10.75,10.88,79200.0,5.860465116279077,-4.393673110720562
1997-01-17,10.88,10.88,10.88,10.88,0.0,0.0,0.0
1997-01-20,11.13,11.13,10.75,10.75,14700.0,3.5348837209302397,-3.4141958670260624
1997-01-21,10.75,10.75,10.75,10.75,0.0,0.0,0.0
1997-01-22,10.75,10.75,10.75,10.75,1000.0,0.0,0.0
1997-01-23,11.0,11.13,10.5,11.0,40000.0,6.000000000000007,0.0
1997-01-24,10.75,11.0,9.75,10.13,29500.0,12.82051282051282,-5.767441860465109
1997-01-27,10.25,10.25,10.25,10.25,200.0,0.0,0.0
1997-01-28,10.0,10.25,10.0,10.25,10700.0,2.5,2.5
1997-01-29,10.75,10.75,10.25,10.75,12800.0,4.878048780487805,0.0
1997-01-30,10.75,11.0,10.5,11.0,55300.0,4.761904761904762,2.3255813953488373
1997-01-31,11.0,11.0,10.63,10.75,90600.0,3.4807149576669727,-2.272727272727273
1997-02-03,11.0,11.0,10.5,10.5,7600.0,4.761904761904762,-4.545454545454546
1997-02-04,10.75,10.75,10.5,10.75,7600.0,2.380952380952381,0.0
1997-02-05,10.75,10.75,10.25,10.5,8700.0,4.878048780487805,-2.3255813953488373
1997-02-06,10.25,10.5,10.25,10.25,9500.0,2.4390243902439024,0.0
1997-02-07,10.38,10.38,10.0,10.38,4100.0,3.8000000000000074,0.0
1997-02-10,10.38,10.5,10.0,10.25,41100.0,5.0,-1.2524084778420113
1997-02-11,10.5,10.5,10.0,10.0,14500.0,5.0,-4.761904761904762
1997-02-12,10.5,10.5,10.5,10.5,800.0,0.0,0.0
1997-02-13,10.0,10.0,10.0,10.0,1100.0,0.0,0.0
1997-02-14,10.0,10.5,10.0,10.5,1300.0,5.0,5.0
1997-02-18,10.5,10.5,9.5,10.0,15200.0,10.526315789473683,-4.761904761904762
1997-02-19,9.5,9.5,9.25,9.25,17000.0,2.7027027027027026,-2.631578947368421
1997-02-20,9.0,9.0,9.0,9.0,6900.0,0.0,0.0
1997-02-21,9.0,9.5,9.0,9.5,240600.0,5.555555555555555,5.555555555555555
1997-02-24,9.0,9.5,9.0,9.0,300.0,5.555555555555555,0.0
1997-02-25,9.0,9.0,9.0,9.0,1600.0,0.0,0.0
1997-02-26,9.125,9.125,9.125,9.125,1000.0,0.0,0.0
1997-02-27,9.5,9.5,9.0,9.0,52000.0,5.555555555555555,-5.263157894736842
1997-02-28,9.0,9.375,9.0,9.375,2100.0,4.166666666666666,4.166666666666666
1997-03-03,9.0,9.375,9.0,9.0,25500.0,4.166666666666666,0.0
1997-03-04,9.0,9.25,8.75,8.875,116700.0,5.714285714285714,-1.3888888888888888
1997-03-05,8.75,8.875,8.75,8.75,35100.0,1.4285714285714286,0.0
1997-03-06,8.875,8.875,8.875,8.875,5000.0,0.0,0.0
1997-03-07,9.0,9.0,9.0,9.0,400.0,0.0,0.0
1997-03-10,8.75,8.75,8.75,8.75,3600.0,0.0,0.0
1997-03-11,8.75,9.0,8.75,8.875,5300.0,2.857142857142857,1.4285714285714286
1997-03-12,9.0,9.125,8.875,9.125,21300.0,2.8169014084507045,1.3888888888888888
1997-03-13,9.0,9.125,8.875,9.125,0.0,2.8169014084507045,1.3888888888888888
1997-03-14,9.125,9.125,9.125,9.125,3600.0,0.0,0.0
1997-03-17,8.75,9.125,8.75,9.125,5300.0,4.285714285714286,4.285714285714286
1997-03-18,8.75,9.125,8.75,8.875,13200.0,4.285714285714286,1.4285714285714286
1997-03-19,9.125,9.125,8.75,9.0,64800.0,4.285714285714286,-1.36986301369863
1997-03-20,8.75,9.0,8.75,8.75,2000.0,2.857142857142857,0.0
1997-03-21,8.5,9.0,8.5,8.5,16100.0,5.88235294117647,0.0
1997-03-24,8.5,8.5,8.5,8.5,0.0,0.0,0.0
1997-03-25,8.5,9.0,8.5,8.5,60800.0,5.88235294117647,0.0
1997-03-26,9.0,9.0,8.25,8.25,22900.0,9.090909090909092,-8.333333333333332
1997-03-27,8.25,8.75,8.0,8.0,12400.0,9.375,-3.0303030303030303
1997-03-31,8.5,8.5,8.0,8.0,15900.0,6.25,-5.88235294117647
1997-04-01,8.0,8.5,8.0,8.0,1300.0,6.25,0.0
1997-04-02,8.0,8.0,8.0,8.0,4000.0,0.0,0.0
1997-04-03,8.0,8.5,8.0,8.5,5700.0,6.25,6.25
1997-04-04,8.0,8.5,8.0,8.5,2700.0,6.25,6.25
1997-04-07,8.5,8.5,8.0,8.0,3200.0,6.25,-5.88235294117647
1997-04-08,8.0,8.0,8.0,8.0,0.0,0.0,0.0
1997-04-09,8.0,8.0,8.0,8.0,400.0,0.0,0.0
1997-04-10,8.0,8.0,8.0,8.0,100.0,0.0,0.0
1997-04-11,8.0,8.0,7.75,7.75,6800.0,3.225806451612903,-3.125
1997-04-14,8.0,8.0,7.5,7.5,13400.0,6.666666666666667,-6.25
1997-04-15,7.75,7.75,7.625,7.75,3300.0,1.639344262295082,0.0
1997-04-16,8.0,8.0,7.5,7.5,1600.0,6.666666666666667,-6.25
1997-04-17,8.0,8.0,7.75,7.75,3000.0,3.225806451612903,-3.125
1997-04-18,7.75,7.75,7.75,7.75,0.0,0.0,0.0
1997-04-21,7.5,8.0,7.25,7.25,4600.0,10.344827586206897,-3.3333333333333335
1997-04-22,7.625,7.625,7.25,7.25,7600.0,5.172413793103448,-4.918032786885246
1997-04-23,7.25,7.25,7.25,7.25,0.0,0.0,0.0
1997-04-24,7.25,7.5,7.25,7.5,19000.0,3.4482758620689653,3.4482758620689653
1997-04-25,7.75,7.75,7.25,7.5,15200.0,6.896551724137931,-3.225806451612903
1997-04-28,7.75,7.75,7.25,7.5,35000.0,6.896551724137931,-3.225806451612903
1997-04-29,7.75,8.25,7.625,8.25,27400.0,8.19672131147541,6.451612903225806
1997-04-30,8.25,8.5,8.25,8.5,11000.0,3.0303030303030303,3.0303030303030303
1997-05-01,9.0,9.0,8.5,9.0,14600.0,5.88235294117647,0.0
1997-05-02,8.75,9.375,8.75,9.25,162500.0,7.142857142857142,5.714285714285714
1997-05-05,9.0,9.0,9.0,9.0,4200.0,0.0,0.0
1997-05-06,9.0,9.0,9.0,9.0,0.0,0.0,0.0
1997-05-07,7.25,8.5,7.25,8.25,44900.0,17.24137931034483,13.793103448275861
1997-05-08,8.0,8.25,7.875,8.125,13500.0,4.761904761904762,1.5625
1997-05-09,8.0,8.25,7.875,8.25,4200.0,4.761904761904762,3.125
1997-05-12,7.875,8.25,7.75,7.75,9900.0,6.451612903225806,-1.5873015873015872
1997-05-13,8.25,8.25,8.25,8.25,500.0,0.0,0.0
1997-05-14,8.0,8.25,8.0,8.0,276500.0,3.125,0.0
1997-05-15,8.25,8.5,8.125,8.25,16100.0,4.615384615384616,0.0
1997-05-16,8.25,8.25,8.25,8.25,1000.0,0.0,0.0
1997-05-19,8.125,8.125,8.125,8.125,1000.0,0.0,0.0
1997-05-20,8.125,8.125,8.125,8.125,200.0,0.0,0.0
1997-05-21,8.12,8.12,8.12,8.12,0.0,0.0,0.0
1997-05-22,8.125,8.25,8.125,8.125,4200.0,1.5384615384615385,0.0
1997-05-23,8.0,8.0,8.0,8.0,1300.0,0.0,0.0
1997-05-27,8.0,8.375,8.0,8.0,900.0,4.6875,0.0
1997-05-28,8.375,8.375,8.375,8.375,5500.0,0.0,0.0
1997-05-29,8.0,8.0,8.0,8.0,2200.0,0.0,0.0
