Date,Open,High,Low,Close,Volume,HML,PCT
1998-06-29,28.25,28.88,27.94,28.56,6307500.0,3.364352183249813,1.0973451327433583
1998-06-30,28.44,28.44,27.75,27.81,1537600.0,2.486486486486491,-2.2151898734177307
1998-07-01,27.75,28.0,27.13,27.88,593100.0,3.2067821599705164,0.4684684684684649
1998-07-02,27.75,27.75,27.25,27.69,563600.0,1.834862385321101,-0.21621621621621162
1998-07-06,27.69,27.69,27.13,27.19,616800.0,2.0641356431994184,-1.8057060310581434
1998-07-07,27.19,27.25,26.94,27.06,623500.0,1.1507052709725267,-0.4781169547627898
1998-07-08,27.06,27.25,27.0,27.25,392300.0,0.9259259259259258,0.7021433850702191
1998-07-09,27.13,27.19,26.75,27.0,293100.0,1.644859813084117,-0.47917434574271656
1998-07-10,27.0,27.0,26.31,27.0,384300.0,2.6225769669327303,0.0
1998-07-13,26.75,26.94,26.31,26.88,385500.0,2.3945267958951066,0.48598130841121123
1998-07-14,26.81,27.13,26.5,27.0,668400.0,2.377358490566034,0.7086907870197736
1998-07-15,26.88,26.94,26.56,26.94,232800.0,1.4307228915662746,0.2232142857142942
1998-07-16,26.81,26.88,26.5,26.63,403600.0,1.4339622641509395,-0.671391271913464
1998-07-17,26.63,26.63,26.31,26.5,543500.0,1.216267578867352,-0.4881712354487383
1998-07-20,26.31,26.38,26.0,26.31,542000.0,1.4615384615384577,0.0
1998-07-21,26.19,26.31,25.88,26.0,218800.0,1.661514683153013,-0.725467735777019
1998-07-22,26.06,26.06,25.75,26.06,506500.0,1.203883495145626,0.0
1998-07-23,26.06,26.38,26.06,26.31,446200.0,1.2279355333844986,0.9593246354566386
1998-07-24,26.13,26.19,26.0,26.13,515800.0,0.7307692307692357,0.0
1998-07-27,26.0,26.25,25.81,26.19,384800.0,1.7047655947307296,0.7307692307692357
1998-07-28,26.06,26.19,25.38,25.75,816900.0,3.1914893617021365,-1.189562547966227
1998-07-29,25.56,25.75,25.06,25.5,522200.0,2.7533918595371163,-0.2347417840375537
1998-07-30,25.38,25.94,25.31,25.75,467900.0,2.489134729355996,1.4578408195429513
1998-07-31,25.75,25.75,25.0,25.19,386800.0,3.0,-2.174757281553393
1998-08-03,25.0,25.13,24.56,24.88,649200.0,2.3208469055374605,-0.4800000000000039
1998-08-04,24.69,24.69,23.75,24.06,617600.0,3.957894736842111,-2.551640340218722
1998-08-05,24.25,25.13,24.25,25.13,501300.0,3.628865979381439,3.628865979381439
1998-08-06,25.13,25.13,24.5,24.75,568500.0,2.571428571428567,-1.5121368881814525
1998-08-07,24.63,24.81,24.25,24.44,351500.0,2.309278350515459,-0.7714169711733566
1998-08-10,24.5,25.0,24.5,24.75,749400.0,2.0408163265306123,1.0204081632653061
1998-08-11,24.5,24.56,24.0,24.19,358400.0,2.3333333333333277,-1.2653061224489743
1998-08-12,24.5,24.94,24.0,24.94,399000.0,3.916666666666672,1.795918367346944
1998-08-13,24.88,25.06,24.69,24.94,206500.0,1.4985824220332014,0.24115755627010563
1998-08-14,24.69,24.88,24.5,24.75,195700.0,1.5510204081632613,0.24301336573511026
1998-08-17,25.0,25.31,24.81,25.25,520500.0,2.015316404675534,1.0
1998-08-18,25.19,25.25,24.75,25.0,450900.0,2.0202020202020203,-0.7542675664946458
1998-08-19,24.94,24.94,24.63,24.88,302700.0,1.258627689809185,-0.24057738572575088
1998-08-20,25.0,25.13,24.88,25.06,631900.0,1.004823151125402,0.2399999999999949
1998-08-21,24.88,25.25,24.81,25.25,459000.0,1.7734784361144753,1.487138263665599
1998-08-24,25.38,25.63,25.31,25.38,377900.0,1.2643224022125654,0.0
1998-08-25,25.44,25.75,25.38,25.75,585800.0,1.4578408195429513,1.2185534591194918
1998-08-26,25.63,25.69,25.5,25.63,346000.0,0.7450980392156913,0.0
1998-08-27,25.62,25.88,25.56,25.56,723600.0,1.2519561815336475,-0.23419203747073483
1998-08-28,25.63,25.63,25.44,25.63,346100.0,0.7468553459119407,0.0
1998-08-31,25.56,25.56,24.88,25.44,1312100.0,2.733118971061092,-0.4694835680751074
1998-09-01,25.19,25.31,24.56,25.31,446000.0,3.0537459283387625,0.47637951568081555
1998-09-02,25.06,25.13,24.63,25.06,1301000.0,2.0300446609825418,0.0
1998-09-03,24.81,25.06,24.56,25.0,267200.0,2.035830618892508,0.7658202337767082
1998-09-04,25.13,25.25,24.81,25.13,359300.0,1.7734784361144753,0.0
