Date,Open,High,Low,Close,Volume,HML,PCT
2013-11-07,45.1,50.09,44.0,44.9,117701600.0,13.840909090909099,-0.44345898004435214
2013-11-08,45.93,46.94,40.685,41.65,27925300.0,15.374216541722982,-9.318528195079471
2013-11-11,40.5,43.0,39.4,42.9,16113900.0,9.137055837563455,5.925925925925923
2013-11-12,43.66,43.78,41.83,41.9,6316700.0,4.661726033946935,-4.031149793861654
2013-11-13,41.03,42.87,40.76,42.6,8688300.0,5.176643768400392,3.826468437728492
2013-11-14,42.34,45.67,42.24,44.69,11099400.0,8.12026515151515,5.5503070382616775
2013-11-15,45.25,45.27,43.43,43.98,8010600.0,4.236702740041453,-2.8066298342541507
2013-11-18,43.5,43.95,40.85,41.14,12810600.0,7.588739290085683,-5.425287356321838
2013-11-19,41.39,41.9,40.0,41.75,7436600.0,4.7499999999999964,0.8697753080454201
2013-11-20,41.4,41.75,40.51,41.05,5767300.0,3.060972599358188,-0.8454106280193271
2013-11-21,41.25,42.49,40.37,42.06,8324700.0,5.251424324993819,1.9636363636363692
2013-11-22,41.81,42.28,40.97,41.0,6185200.0,3.197461557237008,-1.937335565654155
2013-11-25,41.08,41.14,38.8,39.06,14333300.0,6.030927835051555,-4.917234664070098
2013-11-26,39.16,40.55,38.92,40.18,9828400.0,4.188078108941406,2.6046986721144108
2013-11-27,40.47,41.4,40.35,40.9,5536300.0,2.6022304832713683,1.0625154435384228
2013-11-29,41.4,41.58,40.9,41.57,4107000.0,1.662591687041564,0.4106280193236756
2013-12-02,41.79,42.0,40.4,40.78,6424300.0,3.960396039603964,-2.4168461354390955
2013-12-03,40.69,41.6,40.54,41.37,5771000.0,2.6147015293537303,1.6711722782010316
2013-12-04,41.27,43.92,41.27,43.69,11014900.0,6.421129149503267,5.863823600678445
2013-12-05,43.45,46.35,42.83,45.62,11729400.0,8.21853840765819,4.9942462600690325
2013-12-06,45.75,45.8,44.54,44.95,6230000.0,2.828917826672649,-1.7486338797814145
2013-12-09,45.59,49.84,45.02,49.14,17366600.0,10.706352732119058,7.786795349857418
2013-12-10,48.9,52.58,48.7,51.99,25792000.0,7.9671457905544045,6.319018404907982
2013-12-11,52.4,53.87,51.0,52.34,26631500.0,5.627450980392152,-0.11450381679388391
2013-12-12,52.2,55.87,50.69,55.33,23446900.0,10.218978102189782,5.99616858237547
2013-12-13,56.2,59.41,55.45,59.0,38979600.0,7.14156898106401,4.982206405693945
2013-12-16,57.86,60.24,55.76,56.61,39310800.0,8.034433285509333,-2.1603871413757343
2013-12-17,56.97,57.38,54.62,56.45,22115200.0,5.053094104723554,-0.912761102334555
2013-12-18,57.0,57.0,54.23,55.51,16659800.0,5.107873870551361,-2.6140350877193015
2013-12-19,55.08,57.75,55.0,57.49,13152500.0,5.0,4.375453885257814
2013-12-20,58.51,60.25,58.01,60.01,26207400.0,3.8614032063437373,2.5636643308836096
2013-12-23,59.85,64.99,59.7,64.54,22163800.0,8.860971524288093,7.836257309941528
2013-12-24,66.34,70.87,65.56,69.96,35802700.0,8.099450884685787,5.456738016279756
2013-12-26,72.88,74.73,69.1301,73.31,82761100.0,8.100523505679877,0.5900109769484178
2013-12-27,70.1,71.25,63.69,63.75,60418700.0,11.869995289684413,-9.058487874465044
2013-12-30,60.27,63.71,58.57,60.51,55538300.0,8.775823800580502,0.39820806371328166
2013-12-31,62.36,65.22,61.65,63.65,27814600.0,5.790754257907543,2.0686337395766503
2014-01-02,65.0,67.5,64.4,67.5,29246400.0,4.813664596273283,3.8461538461538463
2014-01-03,69.0,70.43,68.432,69.0,33207200.0,2.9196866962824477,0.0
2014-01-06,64.83,66.87,63.5,66.29,27243700.0,5.307086614173236,2.2520438068795436
2014-01-07,67.67,67.73,61.39,61.46,31748400.0,10.327414888418314,-9.176887838037535
2014-01-08,58.71,61.26,57.92,59.29,27263200.0,5.766574585635353,0.9879066598535144
2014-01-09,59.54,60.81,55.59,57.05,31092100.0,9.390178089584456,-4.1820624790057135
2014-01-10,57.5,58.76,55.87,57.0,22375900.0,5.172722391265438,-0.8695652173913043
2014-01-13,59.98,60.38,57.294,57.82,20978100.0,5.386253359863172,-3.6012004001333726
2014-01-14,58.88,59.02,57.36,58.21,14778000.0,2.8940027894002855,-1.137907608695655
2014-01-15,59.11,61.75,58.32,61.57,21537300.0,5.881344307270233,4.161732363390291
2014-01-16,61.45,62.4,60.46,60.57,16589400.0,3.208733046642404,-1.432058584214813
2014-01-17,63.6,64.69,61.59,62.2,28391100.0,5.033284624127283,-2.201257861635218
2014-01-21,63.33,63.44,61.5,62.53,13733200.0,3.1544715447154434,-1.263224380230534
2014-01-22,63.11,63.8,61.76,62.44,12039000.0,3.303108808290154,-1.061638409126924
2014-01-23,61.45,62.81,60.88,62.8,10183700.0,3.1701708278580805,2.196908055329527
2014-01-24,62.17,63.62,61.3,61.74,12942200.0,3.784665579119087,-0.691651922148946
2014-01-27,61.77,61.77,56.1,57.91,18982700.0,10.106951871657758,-6.248988181965365
2014-01-28,57.44,60.85,57.35,60.44,9346800.0,6.102877070619006,5.222841225626741
2014-01-29,59.62,60.95,58.6,59.45,9140000.0,4.010238907849831,-0.28513921502850487
2014-01-30,63.98,65.24,62.8,63.47,17424300.0,3.885350318471334,-0.7971241012816475
2014-01-31,63.39,65.37,62.65,64.5,15498800.0,4.341580207502005,1.7510648367250345
2014-02-03,65.92,66.48,64.21,65.25,17890300.0,3.5352748793023054,-1.0163834951456336
2014-02-04,66.25,66.37,64.5,66.32,13017400.0,2.8992248062015573,0.10566037735848027
2014-02-05,67.16,67.24,64.8,65.97,31504900.0,3.765432098765429,-1.7718880285884424
2014-02-06,50.61,53.9,49.99,50.03,64856500.0,7.821564312862566,-1.1460185734044621
2014-02-07,51.23,54.92,50.75,54.35,32204400.0,8.216748768472911,6.0901815342572805
2014-02-10,54.5,54.59,52.34,52.92,15857400.0,4.298815437523882,-2.8990825688073363
2014-02-11,53.2,54.4,53.1,54.0,13162900.0,2.4482109227871884,1.5037593984962352
2014-02-12,55.05,57.0,54.76,56.85,20040400.0,4.0905770635500405,3.2697547683923784
2014-02-13,56.07,58.98,55.46,56.47,26009500.0,6.346916696718348,0.7133939718209356
2014-02-14,57.02,57.86,56.7,57.44,12512400.0,2.045855379188706,0.7365836548579351
