Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,36.12,37.88,36.0,37.88,235400.0,5.222222222222229,4.872646733111864
1990-01-03,38.25,38.5,37.0,37.0,520200.0,4.054054054054054,-3.2679738562091507
1990-01-04,37.12,37.5,35.5,35.75,665900.0,5.633802816901409,-3.690732758620683
1990-01-05,35.5,35.62,35.12,35.25,408000.0,1.4236902050113898,-0.7042253521126761
1990-01-08,35.25,35.88,35.25,35.75,179700.0,1.787234042553199,1.4184397163120568
1990-01-09,36.38,36.75,36.0,36.5,869500.0,2.083333333333333,0.3298515667949352
1990-01-10,36.25,36.5,35.5,36.12,607500.0,2.8169014084507045,-0.35862068965517946
1990-01-11,36.5,36.5,35.88,35.88,168600.0,1.7279821627647642,-1.6986301369862944
1990-01-12,35.62,35.62,35.0,35.25,575300.0,1.771428571428564,-1.038742279618185
1990-01-15,35.12,35.38,35.0,35.0,187300.0,1.085714285714293,-0.34168564920272626
1990-01-16,34.75,36.25,34.75,36.12,318700.0,4.316546762589928,3.9424460431654604
1990-01-17,36.12,36.12,35.5,35.62,269100.0,1.7464788732394294,-1.3842746400885937
1990-01-18,35.0,35.38,34.75,34.88,276500.0,1.8129496402877772,-0.34285714285713553
1990-01-19,35.25,35.25,34.5,34.62,229800.0,2.1739130434782608,-1.787234042553199
1990-01-22,34.38,34.5,33.38,33.5,469300.0,3.3553025763930417,-2.55962769051775
1990-01-23,34.0,34.0,33.25,33.38,372300.0,2.2556390977443606,-1.8235294117646985
1990-01-24,32.0,33.25,31.88,33.12,367100.0,4.297365119196992,3.499999999999992
1990-01-25,33.25,33.88,33.0,33.25,378900.0,2.6666666666666745,0.0
1990-01-26,32.75,34.12,31.5,31.5,498800.0,8.31746031746031,-3.816793893129771
1990-01-29,31.0,31.25,30.25,31.25,659800.0,3.3057851239669422,0.8064516129032258
1990-01-30,31.5,32.88,31.38,32.62,278900.0,4.780114722753358,3.5555555555555474
1990-01-31,32.62,33.5,32.62,33.38,240400.0,2.6977314530962677,2.329858982219513
1990-02-01,33.38,33.38,32.62,33.0,127200.0,2.329858982219513,-1.1384062312762209
1990-02-02,32.38,33.0,32.38,33.0,246000.0,1.9147621988881944,1.9147621988881944
1990-02-05,33.25,33.75,32.88,33.62,206000.0,2.645985401459846,1.1127819548872102
1990-02-06,33.62,33.75,33.25,33.5,170200.0,1.5037593984962405,-0.3569303985722708
1990-02-07,33.12,34.5,33.12,34.5,261500.0,4.166666666666675,4.166666666666675
1990-02-08,34.38,34.75,34.38,34.62,193900.0,1.076207097149498,0.6980802792320968
1990-02-09,34.5,34.62,34.38,34.62,111100.0,0.6980802792320968,0.34782608695651435
1990-02-12,34.38,34.5,33.38,34.12,116700.0,3.3553025763930417,-0.7562536358348024
1990-02-13,33.88,34.0,33.0,33.62,87500.0,3.0303030303030303,-0.7674144037780553
1990-02-14,33.5,33.5,33.0,33.38,88000.0,1.5151515151515151,-0.35820895522387297
1990-02-15,33.12,33.5,32.88,33.0,187100.0,1.88564476885644,-0.36231884057970243
1990-02-16,33.25,33.38,32.75,32.88,135500.0,1.9236641221374122,-1.1127819548872102
1990-02-20,32.38,32.5,31.75,31.88,160800.0,2.3622047244094486,-1.5441630636195292
1990-02-21,31.25,32.25,31.25,32.25,257800.0,3.2,3.2
1990-02-22,32.5,33.62,32.38,32.62,196500.0,3.829524397776389,0.36923076923076137
1990-02-23,32.25,32.62,32.12,32.5,202200.0,1.5566625155666254,0.7751937984496124
1990-02-26,32.5,34.38,32.38,34.25,272200.0,6.176652254478072,5.384615384615385
1990-02-27,34.38,35.38,34.25,35.25,490800.0,3.2992700729927082,2.530541012216397
1990-02-28,35.25,35.5,34.88,35.25,555800.0,1.777522935779809,0.0
1990-03-01,35.25,35.88,35.25,35.62,221400.0,1.787234042553199,1.0496453900709146
1990-03-02,35.62,36.5,35.5,36.5,351800.0,2.8169014084507045,2.470522178551383
1990-03-05,36.12,36.75,36.12,36.5,294600.0,1.7441860465116352,1.0520487264673382
1990-03-06,36.62,36.88,36.5,36.88,294900.0,1.0410958904109657,0.709994538503564
1990-03-07,37.0,37.0,36.0,36.0,240200.0,2.7777777777777777,-2.7027027027027026
1990-03-08,36.25,36.75,36.12,36.5,540600.0,1.7441860465116352,0.6896551724137931
1990-03-09,36.62,37.5,36.62,37.0,691000.0,2.4030584380120223,1.0376843255051955
1990-03-12,36.25,36.75,36.25,36.5,153000.0,1.3793103448275863,0.6896551724137931
1990-03-13,36.5,36.62,36.0,36.25,551300.0,1.7222222222222152,-0.684931506849315
1990-03-14,36.12,36.25,35.75,35.88,267900.0,1.3986013986013985,-0.6644518272425108
1990-03-15,35.88,36.75,35.88,36.5,254800.0,2.4247491638795915,1.7279821627647642
1990-03-16,36.75,38.0,36.75,37.5,1331800.0,3.4013605442176873,2.0408163265306123
1990-03-19,37.0,37.75,36.75,37.5,774500.0,2.7210884353741496,1.3513513513513513
1990-03-20,37.5,38.5,37.38,37.75,668300.0,2.996254681647933,0.6666666666666667
1990-03-21,38.0,38.0,37.0,37.0,289300.0,2.7027027027027026,-2.631578947368421
1990-03-22,37.0,37.12,35.5,36.0,200200.0,4.563380281690134,-2.7027027027027026
1990-03-23,35.75,36.25,35.75,36.25,179400.0,1.3986013986013985,1.3986013986013985
1990-03-26,37.75,38.0,37.25,37.5,382300.0,2.013422818791946,-0.6622516556291391
1990-03-27,37.5,37.75,37.0,37.5,228100.0,2.027027027027027,0.0
1990-03-28,37.75,37.75,37.0,37.38,288300.0,2.027027027027027,-0.980132450331119
1990-03-29,37.38,37.38,36.5,36.62,254000.0,2.410958904109596,-2.033172819689687
1990-03-30,36.5,37.0,35.75,36.25,322400.0,3.4965034965034967,-0.684931506849315
1990-04-02,35.5,36.5,35.38,36.5,194000.0,3.165630299604288,2.8169014084507045
1990-04-03,36.75,36.75,36.12,36.38,152000.0,1.7441860465116352,-1.0068027210884285
1990-04-04,36.38,37.0,36.0,36.0,489200.0,2.7777777777777777,-1.0445299615173242
1990-04-05,36.12,36.38,36.0,36.12,264300.0,1.0555555555555627,0.0
1990-04-06,36.12,36.12,35.62,35.75,222500.0,1.4037057832678272,-1.0243632336655522
1990-04-09,35.62,35.62,35.25,35.38,279600.0,1.0496453900709146,-0.6737787759685426
1990-04-10,35.5,37.5,35.38,37.5,616400.0,5.992085924250982,5.633802816901409
1990-04-11,37.75,38.12,37.0,37.38,733400.0,3.02702702702702,-0.980132450331119
1990-04-12,37.88,38.25,37.75,38.0,433800.0,1.3245033112582782,0.31678986272438603
1990-04-16,38.38,38.5,37.62,37.75,479100.0,2.3391812865497146,-1.6414799374674376
1990-04-17,37.75,37.75,37.12,37.62,254600.0,1.697198275862076,-0.3443708609271591
1990-04-18,37.62,37.75,36.25,36.38,338300.0,4.137931034482759,-3.2961190855927565
1990-04-19,36.25,37.25,35.5,35.5,721700.0,4.929577464788732,-2.0689655172413794
1990-04-20,35.38,35.5,34.38,35.12,753400.0,3.257707969749847,-0.7348784624081546
1990-04-23,34.62,34.62,34.12,34.5,178800.0,1.4654161781946073,-0.3466204506065784
1990-04-24,34.62,34.75,34.0,34.12,296300.0,2.2058823529411766,-1.4442518775274409
1990-04-25,34.25,34.62,34.25,34.5,124000.0,1.0802919708029122,0.7299270072992701
1990-04-26,34.5,34.75,34.38,34.62,130000.0,1.076207097149498,0.34782608695651435
1990-04-27,34.38,34.62,34.12,34.25,158000.0,1.4654161781946073,-0.3781268179174012
1990-04-30,34.12,34.12,33.75,34.0,113500.0,1.0962962962962888,-0.3516998827666983
1990-05-01,34.0,34.38,33.62,33.75,369900.0,2.2605591909577787,-0.7352941176470588
1990-05-02,33.75,34.75,33.62,34.5,215100.0,3.3610945865556294,2.2222222222222223
1990-05-03,34.62,35.0,34.38,34.75,188900.0,1.8033740546829478,0.375505488157142
1990-05-04,35.0,35.62,34.62,35.5,381200.0,2.8885037550548818,1.4285714285714286
1990-05-07,35.62,36.5,35.38,36.5,521100.0,3.165630299604288,2.470522178551383
1990-05-08,36.25,36.25,35.5,36.12,324100.0,2.112676056338028,-0.35862068965517946
1990-05-09,35.88,36.0,35.5,35.62,253000.0,1.4084507042253522,-0.7246376811594345
1990-05-10,35.5,37.0,35.5,36.88,759900.0,4.225352112676056,3.887323943661979
1990-05-11,37.12,37.5,36.88,37.25,812400.0,1.6811279826464138,0.3502155172413862
1990-05-14,37.38,38.25,37.25,37.62,601500.0,2.684563758389262,0.6420545746388306
1990-05-15,37.25,39.88,37.25,39.88,1032000.0,7.0604026845637655,7.0604026845637655
1990-05-16,39.88,41.12,39.88,40.62,1436900.0,3.1093279839518426,1.855566700100288
1990-05-17,40.75,41.62,40.62,41.0,1073100.0,2.461841457410143,0.6134969325153374
1990-05-18,40.88,40.88,40.25,40.75,546700.0,1.565217391304354,-0.3180039138943311
1990-05-21,40.5,41.5,40.5,41.0,1397200.0,2.4691358024691357,1.2345679012345678
1990-05-22,41.12,41.38,40.5,41.25,1912400.0,2.1728395061728456,0.31614785992218525
1990-05-23,41.12,43.5,40.88,43.38,1305000.0,6.409001956947155,5.496108949416356
1990-05-24,43.62,44.0,42.5,43.25,982400.0,3.5294117647058822,-0.8482347546996732
1990-05-25,42.62,42.88,42.12,42.5,403100.0,1.80436847103515,-0.28155795401219486
1990-05-29,42.5,43.0,42.25,43.0,531400.0,1.7751479289940828,1.1764705882352942
1990-05-30,43.38,43.5,42.38,42.38,462100.0,2.6427560169891393,-2.305209774089442
1990-05-31,42.0,42.25,41.62,42.0,323100.0,1.5136953387794392,0.0
1990-06-01,42.38,42.38,41.25,41.5,516100.0,2.7393939393939455,-2.076451156205763
1990-06-04,41.62,42.38,41.12,42.25,494500.0,3.064202334630363,1.5136953387794392
1990-06-05,42.25,42.38,41.75,42.25,497800.0,1.5089820359281498,0.0
1990-06-06,41.75,42.0,41.25,41.25,449500.0,1.8181818181818181,-1.1976047904191618
1990-06-07,41.25,41.38,40.88,41.0,265400.0,1.223091976516634,-0.6060606060606061
1990-06-08,40.75,40.75,39.38,39.38,425000.0,3.4789233113255396,-3.3619631901840425
1990-06-11,39.25,40.62,38.88,40.38,570600.0,4.475308641975295,2.8789808917197517
1990-06-12,40.88,41.0,40.0,40.5,482100.0,2.5,-0.9295499021526481
1990-06-13,40.5,40.5,39.62,39.88,380400.0,2.2211004543160087,-1.530864197530858
1990-06-14,39.75,40.0,39.12,39.38,241000.0,2.249488752556244,-0.9308176100628865
1990-06-15,39.38,39.62,39.12,39.25,386800.0,1.278118609406953,-0.3301168105637444
1990-06-18,39.0,39.25,38.25,38.25,575600.0,2.6143790849673203,-1.9230769230769231
1990-06-19,38.38,38.75,38.25,38.75,281100.0,1.3071895424836601,0.9640437727983256
1990-06-20,38.62,39.5,38.5,39.5,344500.0,2.5974025974025974,2.2786121180735437
1990-06-21,39.5,39.62,39.25,39.25,218900.0,0.9426751592356623,-0.6329113924050633
1990-06-22,40.25,40.5,39.25,39.25,502000.0,3.1847133757961785,-2.484472049689441
1990-06-25,39.5,39.5,38.62,38.75,317500.0,2.2786121180735437,-1.89873417721519
1990-06-26,39.25,39.25,37.88,37.88,255500.0,3.616684266103478,-3.490445859872605
1990-06-27,38.0,39.0,37.75,39.0,308000.0,3.3112582781456954,2.631578947368421
1990-06-28,39.5,39.88,39.38,39.5,279400.0,1.2696800406297613,0.0
1990-06-29,39.38,39.75,39.25,39.62,275700.0,1.2738853503184715,0.6094464195022724
1990-07-02,39.75,40.0,39.38,39.5,388800.0,1.5744032503808976,-0.628930817610063
1990-07-03,39.38,39.62,39.12,39.25,219100.0,1.278118609406953,-0.3301168105637444
1990-07-05,39.0,39.12,38.75,38.88,244400.0,0.9548387096774127,-0.30769230769230116
1990-07-06,38.62,39.0,38.62,38.75,119500.0,0.9839461418953976,0.3366131538063246
1990-07-09,38.88,39.25,38.75,39.25,293100.0,1.2903225806451613,0.9516460905349728
1990-07-10,39.38,39.75,38.75,38.88,258800.0,2.5806451612903225,-1.2696800406297613
1990-07-11,38.75,39.12,38.75,39.12,270000.0,0.9548387096774127,0.9548387096774127
1990-07-12,39.12,40.12,38.75,40.12,396000.0,3.535483870967735,2.556237218813906
1990-07-13,40.38,40.88,40.0,40.0,380600.0,2.2000000000000064,-0.9410599306587482
1990-07-16,40.12,40.25,39.75,40.0,171100.0,1.257861635220126,-0.29910269192422095
1990-07-17,40.38,40.5,39.38,39.5,267900.0,2.8440832910106586,-2.1792966815255137
1990-07-18,39.62,39.75,38.75,38.88,290300.0,2.5806451612903225,-1.867743563856625
1990-07-19,38.62,38.88,37.62,38.88,490500.0,3.3492822966507316,0.6732263076126492
1990-07-20,38.75,39.0,32.75,33.12,1056300.0,19.083969465648856,-14.529032258064522
1990-07-23,33.12,34.38,32.5,33.62,1135400.0,5.7846153846153925,1.5096618357487923
1990-07-24,33.75,33.88,32.88,33.62,582700.0,3.041362530413625,-0.3851851851851928
1990-07-25,33.38,33.62,33.12,33.25,491800.0,1.5096618357487923,-0.38945476333134377
1990-07-26,33.0,33.0,32.62,32.75,326100.0,1.1649294911097565,-0.7575757575757576
1990-07-27,32.88,33.25,32.75,32.75,200600.0,1.5267175572519083,-0.395377128953779
1990-07-30,32.5,32.62,32.25,32.5,118700.0,1.1472868217054184,0.0
1990-07-31,32.38,32.62,31.5,32.0,700100.0,3.5555555555555474,-1.1735639283508417
1990-08-01,31.62,31.75,31.0,31.62,583800.0,2.4193548387096775,0.0
1990-08-02,31.0,31.25,30.75,30.88,383300.0,1.6260162601626018,-0.3870967741935516
1990-08-03,30.62,31.0,28.5,30.75,583900.0,8.771929824561402,0.4245591116917015
1990-08-06,28.75,29.5,28.5,28.88,739800.0,3.508771929824561,0.4521739130434748
1990-08-07,29.25,29.62,28.25,28.5,519300.0,4.849557522123897,-2.564102564102564
1990-08-08,28.5,29.38,28.25,29.0,546000.0,3.9999999999999964,1.7543859649122806
1990-08-09,29.12,29.25,28.75,28.75,186700.0,1.7391304347826086,-1.2706043956043989
1990-08-10,28.62,28.75,27.88,28.12,543900.0,3.1205164992826435,-1.747030048916841
1990-08-13,28.0,29.12,27.75,28.88,233100.0,4.936936936936941,3.1428571428571397
1990-08-14,28.88,29.38,28.38,29.0,230500.0,3.5236081747709656,0.4155124653739647
1990-08-15,29.5,29.75,29.5,29.5,146100.0,0.847457627118644,0.0
1990-08-16,29.75,29.75,28.75,28.75,229900.0,3.4782608695652173,-3.361344537815126
1990-08-17,27.5,28.0,27.5,27.75,404800.0,1.8181818181818181,0.9090909090909091
1990-08-20,27.62,28.12,27.62,27.88,284900.0,1.8102824040550323,0.9413468501086097
1990-08-21,27.5,27.75,27.12,27.5,274500.0,2.3230088495575183,0.0
1990-08-22,28.25,28.25,26.88,27.0,387900.0,5.096726190476194,-4.424778761061947
1990-08-23,26.25,27.0,26.0,26.5,463000.0,3.8461538461538463,0.9523809523809524
1990-08-24,26.75,27.25,26.5,27.25,313600.0,2.8301886792452833,1.8691588785046727
1990-08-27,28.25,28.88,27.62,27.88,296800.0,4.5619116582186745,-1.3097345132743399
1990-08-28,27.62,27.88,27.0,27.12,236600.0,3.2592592592592555,-1.8102824040550323
1990-08-29,27.12,28.12,27.0,27.88,254200.0,4.1481481481481515,2.8023598820058924
1990-08-30,27.88,27.88,27.38,27.62,114300.0,1.8261504747991237,-0.9325681492108967
1990-08-31,27.62,27.88,27.38,27.75,90900.0,1.8261504747991237,0.4706734250543049
1990-09-04,27.62,28.0,27.5,27.75,216800.0,1.8181818181818181,0.4706734250543049
1990-09-05,27.88,27.88,27.25,27.38,123100.0,2.3119266055045835,-1.7934002869440457
1990-09-06,27.12,27.25,25.88,26.25,456400.0,5.293663060278211,-3.2079646017699153
1990-09-07,26.25,26.5,26.12,26.25,274800.0,1.4548238897396593,0.0
1990-09-10,26.5,26.5,25.38,25.62,33800.0,4.412923561859737,-3.320754716981128
1990-09-11,25.88,29.88,24.88,29.12,838200.0,20.09646302250804,12.519319938176206
1990-09-12,29.75,30.75,28.5,28.5,1205800.0,7.894736842105263,-4.201680672268908
1990-09-13,28.88,29.0,27.0,27.25,366300.0,7.4074074074074066,-5.644044321329637
1990-09-14,27.0,28.25,26.5,28.25,403700.0,6.60377358490566,4.62962962962963
1990-09-17,27.88,29.25,27.88,28.88,354500.0,4.9139167862266895,3.5868005738880915
1990-09-18,28.62,29.0,28.0,28.88,287100.0,3.571428571428571,0.9084556254367505
1990-09-19,29.25,29.38,28.5,28.62,206700.0,3.0877192982456103,-2.15384615384615
1990-09-20,28.38,28.38,27.0,27.75,190500.0,5.111111111111107,-2.219873150105705
1990-09-21,27.0,27.12,26.62,26.62,285700.0,1.8782870022539442,-1.4074074074074037
