Date,Open,High,Low,Close,Volume,HML,PCT
2006-02-06,34.82,34.94,33.7,33.9,1940300.0,3.6795252225519133,-2.642159678345783
2006-02-07,33.9,33.901,31.73,32.99,3224600.0,6.842105263157904,-2.6843657817109046
2006-02-08,31.46,32.4,30.88,32.0,8960500.0,4.922279792746113,1.7164653528289866
2006-02-09,29.66,34.98,29.51,34.5,8016600.0,18.536089461199577,16.31827376938638
2006-02-10,33.66,35.5705,33.6,34.24,2229100.0,5.864583333333337,1.7231134878193863
2006-02-13,36.22,36.22,34.43,35.04,4804900.0,5.198954400232353,-3.257868580894533
2006-02-14,34.48,36.25,34.02,35.78,3630300.0,6.554967666078768,3.770301624129943
2006-02-15,35.2,36.62,35.2,36.53,3260600.0,4.034090909090893,3.778409090909086
2006-02-16,36.04,36.29,35.45,35.7,2042100.0,2.36953455571226,-0.943396226415084
2006-02-17,36.15,37.0,35.07,36.93,2265000.0,5.5032791559737655,2.157676348547721
2006-02-21,35.88,36.23,35.25,35.43,2121900.0,2.7801418439716223,-1.2541806020066968
2006-02-22,35.71,36.7,35.34,36.08,1659600.0,3.8483305036785493,1.0361243349201832
2006-02-23,35.5,36.98,35.4,36.14,1637400.0,4.463276836158188,1.8028169014084523
2006-02-24,35.52,35.99,35.45,35.8,1364600.0,1.5232722143864572,0.7882882882882714
2006-02-27,35.7,35.85,35.2,35.5,2381100.0,1.846590909090905,-0.5602240896358622
2006-02-28,35.39,36.32,35.28,35.47,1093400.0,2.94784580498866,0.22605255721954873
2006-03-01,35.25,36.4,35.06,36.1,1401600.0,3.8220193953222936,2.411347517730501
2006-03-02,35.65,36.34,35.61,36.07,1374000.0,2.049985959000292,1.1781206171108043
2006-03-03,36.0,36.95,36.0,36.62,1701600.0,2.638888888888897,1.7222222222222152
2006-03-06,36.43,37.2,36.43,36.92,753600.0,2.1136426022509007,1.3450452923414822
2006-03-07,36.76,38.0,36.75,37.22,833100.0,3.4013605442176873,1.2513601741022875
2006-03-08,37.03,37.52,37.0,37.41,878800.0,1.4054054054054137,1.0261949770456265
2006-03-09,37.2,37.41,37.09,37.32,776100.0,0.8627662442706744,0.32258064516128343
2006-03-10,37.13,38.15,36.92,38.14,1517200.0,3.3315276273022665,2.720172367357926
2006-03-13,38.11,38.89,37.8,38.22,3228300.0,2.8835978835978926,0.2886381527158211
