Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,76.75,79.75,76.5,79.75,243900.0,4.248366013071895,3.908794788273615
1990-01-03,79.75,79.75,78.12,78.62,285950.0,2.0865335381464356,-1.4169278996865147
1990-01-04,78.5,78.5,77.75,78.25,231550.0,0.964630225080386,-0.3184713375796179
1990-01-05,77.75,78.25,77.38,78.25,223200.0,1.1243215301111458,0.6430868167202572
1990-01-08,77.87,78.75,77.87,78.62,152550.0,1.1300886092204898,0.9631437010401952
1990-01-09,78.38,78.5,77.87,77.87,195850.0,0.8090407088737581,-0.650676192906342
1990-01-10,77.62,77.75,76.25,77.0,282850.0,1.9672131147540985,-0.7987632053594493
1990-01-11,77.25,77.5,76.75,77.38,122350.0,0.9771986970684038,0.16828478964400706
1990-01-12,76.62,76.62,75.38,75.5,283900.0,1.6449986733881787,-1.4617593317671684
1990-01-15,75.62,76.0,75.5,76.0,108550.0,0.6622516556291391,0.5025125628140643
1990-01-16,75.62,77.13,75.38,77.13,474400.0,2.3215707084107193,1.9968262364453728
1990-01-17,77.0,77.87,75.0,75.88,430650.0,3.8266666666666724,-1.4545454545454604
1990-01-18,76.25,77.38,75.75,77.13,277950.0,2.151815181518146,1.1540983606557318
1990-01-19,77.38,77.62,76.88,76.88,172500.0,0.9625390218522492,-0.6461617989144481
1990-01-22,76.62,77.25,75.75,75.88,279000.0,1.9801980198019802,-0.9658052727747443
1990-01-23,75.88,76.5,75.25,76.12,173550.0,1.6611295681063125,0.31628887717449805
1990-01-24,75.25,76.38,74.75,75.88,296500.0,2.1806020066889573,0.8372093023255753
1990-01-25,76.12,76.25,74.62,75.0,212800.0,2.1844009648887637,-1.4713610089332692
1990-01-26,75.0,75.0,73.25,74.5,300850.0,2.3890784982935154,-0.6666666666666667
1990-01-29,74.38,74.75,73.38,73.75,216350.0,1.8669937312619307,-0.8470018822263989
1990-01-30,73.5,73.62,71.75,72.62,272150.0,2.6062717770034904,-1.1972789115646196
1990-01-31,72.62,74.75,72.62,74.38,247300.0,2.9330762875240914,2.4235747727898524
1990-02-01,74.38,74.38,73.62,73.88,208050.0,1.0323281716924624,-0.6722237160527024
1990-02-02,73.75,74.0,73.5,73.75,241350.0,0.6802721088435374,0.0
1990-02-05,73.5,73.5,73.25,73.38,166100.0,0.3412969283276451,-0.16326530612245516
1990-02-06,73.5,73.5,72.5,73.25,254750.0,1.3793103448275863,-0.3401360544217687
1990-02-07,73.5,74.25,72.75,74.13,221400.0,2.0618556701030926,0.857142857142851
1990-02-08,74.38,75.62,74.25,74.62,291150.0,1.8451178451178514,0.3226673837053094
1990-02-09,74.75,76.38,74.75,76.12,183200.0,2.1806020066889573,1.8327759197324476
1990-02-12,75.88,76.12,75.0,75.13,147800.0,1.4933333333333394,-0.9884027411702689
