Date,Open,High,Low,Close,Volume,HML,PCT
2008-03-19,59.5,69.0,55.0,56.5,177121500.0,25.454545454545453,-5.042016806722689
2008-03-20,58.47,65.0,57.5,64.35,49746300.0,13.043478260869565,10.056439199589526
2008-03-24,67.24,67.7,59.0,59.73,37391600.0,14.74576271186441,-11.168947055324209
2008-03-25,60.63,64.25,59.82,63.25,21773000.0,7.405549983283183,4.32129308922975
2008-03-26,62.5,64.48,61.57,63.96,10777900.0,4.726327757024531,2.336000000000001
2008-03-27,64.05,64.74,62.65,62.91,9957400.0,3.3359936153232184,-1.7798594847775184
2008-03-28,63.1,63.44,62.16,62.76,6168800.0,2.059202059202061,-0.5388272583201322
2008-03-31,62.7,63.48,62.05,62.36,5539300.0,2.3045930701047537,-0.542264752791074
2008-04-01,63.0,63.68,60.31,61.61,15102700.0,5.5877963853423935,-2.2063492063492074
2008-04-02,61.79,62.32,60.5,62.32,10959100.0,3.008264462809918,0.8577439715164284
2008-04-03,61.93,66.29,61.82,65.5,25217000.0,7.230669686185711,5.764572904892621
2008-04-04,64.87,65.32,63.75,64.48,9098600.0,2.462745098039205,-0.6012024048096201
2008-04-07,65.02,65.8,64.02,65.04,7075400.0,2.780381130896597,0.030759766225792424
2008-04-08,65.2,68.24,64.81,68.09,13481400.0,5.292393149205358,4.432515337423314
2008-04-09,68.35,68.72,65.61,65.79,12081100.0,4.740131077579637,-3.745427944403787
2008-04-10,66.67,66.73,65.11,66.11,5593000.0,2.4880970665028483,-0.8399580020998985
2008-04-11,65.25,66.77,65.25,66.11,6605400.0,2.329501915708806,1.3180076628352482
2008-04-14,66.98,67.24,65.53,65.68,7110900.0,2.6094918358003873,-1.9408778739922323
2008-04-15,66.54,66.55,64.0,64.35,5972000.0,3.9843749999999956,-3.291253381424725
2008-04-16,65.0,66.95,64.56,66.14,6284200.0,3.7019826517967793,1.7538461538461547
2008-04-17,66.47,67.75,66.01,67.04,5614900.0,2.635964247841228,0.8575297126523355
2008-04-18,68.1,70.447,67.2,69.0,26024900.0,4.831845238095238,1.321585903083709
2008-04-21,69.7,72.5,68.85,70.97,14712000.0,5.301379811183741,1.822094691535145
2008-04-22,72.1,72.4,70.0,70.28,11839400.0,3.4285714285714364,-2.524271844660185
2008-04-23,71.15,71.7,69.69,70.08,9329900.0,2.8842014636246307,-1.5038650737877826
2008-04-24,71.2,72.99,70.04,72.3,9521700.0,4.211878926327796,1.544943820224711
2008-04-25,76.0,76.08,73.91,75.1,25365000.0,2.936003247192534,-1.184210526315797
2008-04-28,76.22,77.29,74.9,75.63,33129300.0,3.190921228304407,-0.7740750459197105
2008-04-29,73.28,80.88,71.0,80.88,49327100.0,13.915492957746473,10.371179039301301
2008-04-30,81.21,84.81,81.07,83.45,36885900.0,4.613297150610595,2.758280999876874
2008-05-01,84.68,87.64,83.9,85.4,29098900.0,4.457687723480327,0.8502598016060449
2008-05-02,87.25,87.5,81.0,82.75,34162200.0,8.024691358024691,-5.157593123209169
2008-05-05,82.85,85.5,80.82,85.06,17594300.0,5.7906458797327485,2.667471333735677
2008-05-06,85.39,88.15,84.75,87.53,18978300.0,4.011799410029505,2.506148260920483
2008-05-07,88.99,89.84,87.66,88.5,25116200.0,2.486881131645,-0.5506236655803967
2008-05-08,89.5,89.75,85.94,87.3,23209100.0,4.433325575983247,-2.458100558659221
2008-05-09,85.77,86.6699,82.52,82.86,23578000.0,5.028962675714981,-3.39279468345575
2008-05-12,83.73,84.48,78.1,81.9,36867900.0,8.169014084507054,-2.185596560372624
2008-05-13,81.75,83.5,80.79,82.38,13312400.0,3.354375541527409,0.7706422018348569
