Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,15.13,15.38,15.0,15.13,249750.0,2.5333333333333385,0.0
1990-01-03,15.13,15.5,15.13,15.38,146150.0,2.445472571050887,1.652346331791143
1990-01-04,15.38,15.75,15.38,15.63,387700.0,2.4057217165149494,1.6254876462938879
1990-01-05,15.5,16.13,15.5,15.75,325350.0,4.064516129032252,1.6129032258064515
1990-01-08,15.75,15.75,15.5,15.5,78650.0,1.6129032258064515,-1.5873015873015872
1990-01-09,15.5,15.63,15.13,15.13,93075.0,3.304692663582286,-2.387096774193543
1990-01-10,15.13,15.38,15.0,15.0,62775.0,2.5333333333333385,-0.8592200925313996
1990-01-11,15.25,16.0,15.25,15.75,275575.0,4.918032786885246,3.278688524590164
1990-01-12,15.5,15.75,15.38,15.63,165075.0,2.4057217165149494,0.8387096774193599
1990-01-15,15.38,15.63,15.38,15.38,72950.0,1.6254876462938879,0.0
1990-01-16,15.25,15.75,15.13,15.63,129625.0,4.097818902842031,2.4918032786885296
1990-01-17,15.75,16.25,15.75,15.75,357500.0,3.1746031746031744,0.0
1990-01-18,15.75,15.88,15.63,15.88,185200.0,1.599488163787588,0.8253968253968303
1990-01-19,15.88,16.0,15.75,15.75,99100.0,1.5873015873015872,-0.8186397984886697
1990-01-22,15.75,16.0,15.38,15.5,226000.0,4.031209362808838,-1.5873015873015872
1990-01-23,15.63,15.63,15.38,15.5,94500.0,1.6254876462938879,-0.8317338451695508
1990-01-24,14.75,15.0,14.63,14.88,191000.0,2.5290498974709448,0.8813559322033951
1990-01-25,14.88,15.0,14.38,14.5,137950.0,4.311543810848395,-2.55376344086022
1990-01-26,14.5,14.75,14.13,14.5,98675.0,4.387827317763618,0.0
1990-01-29,14.5,14.5,14.13,14.38,126225.0,2.6185421089879632,-0.8275862068965464
1990-01-30,14.25,14.75,14.25,14.5,306525.0,3.508771929824561,1.7543859649122806
1990-01-31,14.5,15.0,14.5,15.0,129725.0,3.4482758620689653,3.4482758620689653
1990-02-01,14.88,15.38,14.88,15.13,140350.0,3.3602150537634405,1.6801075268817203
1990-02-02,15.25,15.25,14.88,15.25,90450.0,2.4865591397849407,0.0
1990-02-05,15.25,15.38,15.13,15.25,50650.0,1.652346331791143,0.0
1990-02-06,15.25,15.38,15.13,15.25,74150.0,1.652346331791143,0.0
1990-02-07,15.13,15.63,15.0,15.5,135100.0,4.2000000000000055,2.445472571050887
1990-02-08,15.5,15.88,15.25,15.38,651900.0,4.131147540983612,-0.7741935483870918
1990-02-09,15.5,15.5,14.88,15.0,198550.0,4.166666666666661,-3.225806451612903
1990-02-12,14.88,15.13,14.75,15.0,161250.0,2.576271186440683,0.8064516129032205
1990-02-13,15.0,15.13,14.88,14.88,239475.0,1.6801075268817203,-0.7999999999999948
1990-02-14,14.88,15.25,14.75,15.13,251400.0,3.389830508474576,1.6801075268817203
1990-02-15,15.25,15.5,15.13,15.38,186400.0,2.445472571050887,0.8524590163934478
1990-02-16,15.25,15.63,15.25,15.5,150200.0,2.4918032786885296,1.639344262295082
