Date,Open,High,Low,Close,Volume,HML,PCT
1991-07-24,9.12,9.5,9.0,9.25,200900.0,5.555555555555555,1.4254385964912368
1991-07-25,9.0,9.25,9.0,9.12,157300.0,2.7777777777777777,1.3333333333333246
1991-07-26,9.25,9.25,9.0,9.0,1000500.0,2.7777777777777777,-2.7027027027027026
1991-07-29,9.25,9.25,9.0,9.25,37700.0,2.7777777777777777,0.0
1991-07-30,9.25,9.25,9.0,9.0,177200.0,2.7777777777777777,-2.7027027027027026
1991-07-31,9.25,9.25,9.0,9.0,186000.0,2.7777777777777777,-2.7027027027027026
1991-08-01,9.0,9.12,9.0,9.0,78500.0,1.3333333333333246,0.0
1991-08-02,9.25,9.25,9.12,9.12,110400.0,1.4254385964912368,-1.4054054054054137
1991-08-05,9.25,9.25,9.0,9.25,51900.0,2.7777777777777777,0.0
1991-08-06,9.12,9.25,9.12,9.25,62300.0,1.4254385964912368,1.4254385964912368
1991-08-07,9.25,9.25,9.0,9.0,111200.0,2.7777777777777777,-2.7027027027027026
1991-08-08,9.25,9.25,9.0,9.12,48500.0,2.7777777777777777,-1.4054054054054137
1991-08-09,9.0,9.25,9.0,9.0,86000.0,2.7777777777777777,0.0
1991-08-12,9.0,9.25,9.0,9.0,20800.0,2.7777777777777777,0.0
1991-08-13,9.25,9.25,9.0,9.0,31500.0,2.7777777777777777,-2.7027027027027026
1991-08-14,9.25,9.25,9.12,9.25,51100.0,1.4254385964912368,0.0
1991-08-15,9.0,9.25,9.0,9.0,15900.0,2.7777777777777777,0.0
1991-08-16,9.25,9.25,9.0,9.0,34900.0,2.7777777777777777,-2.7027027027027026
1991-08-19,8.88,9.0,8.38,8.75,37700.0,7.3985680190930685,-1.4639639639639725
1991-08-20,8.75,8.88,8.5,8.75,28900.0,4.470588235294127,0.0
1991-08-21,8.88,8.88,8.62,8.88,7000.0,3.0162412993039625,0.0
1991-08-22,8.88,9.0,8.62,8.75,20700.0,4.408352668213467,-1.4639639639639725
1991-08-23,9.0,9.0,8.62,8.62,8500.0,4.408352668213467,-4.22222222222223
1991-08-26,9.0,9.12,8.62,9.12,38800.0,5.80046403712297,1.3333333333333246
1991-08-27,9.12,9.38,9.0,9.25,36300.0,4.22222222222223,1.4254385964912368
1991-08-28,9.25,9.38,9.0,9.38,36700.0,4.22222222222223,1.4054054054054137
1991-08-29,9.38,9.88,9.12,9.88,89000.0,8.333333333333352,5.330490405117271
1991-08-30,9.88,10.38,9.62,10.38,72900.0,7.900207900207917,5.060728744939271
1991-09-03,10.38,11.0,10.25,10.25,163100.0,7.317073170731707,-1.2524084778420113
1991-09-04,10.25,10.5,10.0,10.0,69500.0,5.0,-2.4390243902439024
1991-09-05,10.0,10.38,10.0,10.0,72500.0,3.8000000000000074,0.0
1991-09-06,10.25,10.25,10.0,10.0,17900.0,2.5,-2.4390243902439024
1991-09-09,10.0,10.25,9.75,9.75,16900.0,5.128205128205128,-2.5
1991-09-10,10.12,10.12,9.75,10.12,15100.0,3.7948717948717867,0.0
1991-09-11,9.75,10.25,9.75,10.0,83700.0,5.128205128205128,2.564102564102564
1991-09-12,10.5,10.62,10.12,10.38,364700.0,4.940711462450594,-1.1428571428571355
1991-09-13,10.75,11.12,10.75,11.12,55200.0,3.441860465116272,3.441860465116272
1991-09-16,10.75,11.12,10.75,11.12,115400.0,3.441860465116272,3.441860465116272
1991-09-17,11.12,11.12,10.88,11.0,45100.0,2.205882352941162,-1.079136690647475
1991-09-18,11.12,11.38,11.0,11.38,41400.0,3.4545454545454617,2.338129496402892
1991-09-19,11.12,12.5,11.12,12.38,221600.0,12.41007194244605,11.330935251798575
