Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,38.63,39.75,38.5,39.75,216850.0,3.2467532467532463,2.8993010613512746
1990-01-03,39.75,40.63,39.75,40.63,138950.0,2.2138364779874276,2.2138364779874276
1990-01-04,40.63,40.63,39.37,39.37,145767.0,3.200406400812815,-3.101156780703926
1990-01-05,39.13,39.62,39.13,39.5,89900.0,1.252236135957053,0.9455660618451249
1990-01-08,39.25,40.12,39.25,40.0,69867.0,2.216560509554134,1.910828025477707
1990-01-09,40.12,40.38,39.25,39.25,159667.0,2.8789808917197517,-2.168494516450642
1990-01-10,39.13,39.13,37.13,37.75,239300.0,5.386479935362241,-3.526705852287254
1990-01-11,38.0,38.12,37.87,38.0,129850.0,0.6601531555320835,0.0
1990-01-12,37.13,37.25,36.5,36.75,201767.0,2.054794520547945,-1.0234311877188325
1990-01-15,36.63,36.63,35.0,35.13,320817.0,4.657142857142865,-4.095004095004095
1990-01-16,34.75,35.38,34.5,35.38,508300.0,2.5507246376811668,1.8129496402877772
1990-01-17,35.63,35.63,34.5,34.5,218850.0,3.275362318840587,-3.1714847039012137
1990-01-18,34.25,34.25,33.63,34.25,337517.0,1.8435920309247618,0.0
1990-01-19,34.12,34.88,34.0,34.5,128000.0,2.5882352941176547,1.113716295427909
1990-01-22,34.25,34.37,33.0,33.0,157400.0,4.151515151515143,-3.64963503649635
1990-01-23,32.75,32.87,31.25,32.13,316000.0,5.183999999999992,-1.8931297709923585
1990-01-24,30.75,32.5,30.0,32.0,753367.0,8.333333333333332,4.0650406504065035
1990-01-25,32.25,33.0,32.0,32.37,187600.0,3.125,0.37209302325580607
1990-01-26,32.37,33.13,31.75,32.5,357967.0,4.346456692913394,0.4016064257028192
1990-01-29,32.5,33.38,32.5,33.13,94183.0,2.7076923076923154,1.9384615384615462
1990-01-30,33.0,33.25,32.75,33.13,161667.0,1.5267175572519083,0.3939393939394017
1990-01-31,33.25,33.75,32.75,33.5,306383.0,3.0534351145038165,0.7518796992481203
1990-02-01,33.38,33.38,32.62,33.25,105400.0,2.329858982219513,-0.38945476333134377
1990-02-02,33.13,34.0,33.13,33.88,163150.0,2.626018714156346,2.263809236341684
1990-02-05,34.12,34.5,34.0,34.25,76000.0,1.4705882352941175,0.3810082063306054
1990-02-06,34.37,35.63,34.25,35.63,178100.0,4.029197080291978,3.6659877800407483
1990-02-07,35.38,35.5,35.0,35.5,238117.0,1.4285714285714286,0.3391746749575959
1990-02-08,35.25,35.25,34.75,35.13,120917.0,1.4388489208633095,-0.3404255319148864
1990-02-09,35.13,35.13,34.5,34.88,212183.0,1.8260869565217466,-0.7116424708226586
1990-02-12,34.62,34.75,33.88,33.88,56767.0,2.567886658795742,-2.1374927787405977
1990-02-13,33.88,34.25,33.5,33.5,124250.0,2.2388059701492535,-1.12160566706022
1990-02-14,33.5,33.88,33.5,33.75,149117.0,1.134328358208963,0.7462686567164178
1990-02-15,33.75,33.75,33.0,33.13,206150.0,2.272727272727273,-1.8370370370370295
1990-02-16,33.38,33.38,32.75,32.75,237833.0,1.9236641221374122,-1.8873576992210979
1990-02-20,32.75,32.87,32.25,32.25,162350.0,1.9224806201550309,-1.5267175572519083
1990-02-21,32.0,32.25,31.12,31.88,254533.0,3.6311053984575805,-0.3750000000000031
1990-02-22,32.13,32.13,31.0,31.0,138950.0,3.645161290322589,-3.5169623404917596
1990-02-23,30.62,31.0,30.25,30.5,281000.0,2.479338842975207,-0.3919007184846538
1990-02-26,30.37,30.37,29.75,30.25,225533.0,2.0840336134453814,-0.3951267698386598
1990-02-27,30.13,30.87,30.13,30.5,285817.0,2.456023896448729,1.2280119482243645
1990-02-28,30.75,31.12,30.62,31.0,129467.0,1.6329196603527107,0.8130081300813009
1990-03-01,31.12,32.37,31.0,32.0,255350.0,4.419354838709669,2.8277634961439557
1990-03-02,32.75,32.75,32.37,32.62,300900.0,1.1739264751313023,-0.396946564885504
1990-03-05,32.62,33.5,32.5,33.13,284483.0,3.076923076923077,1.5634580012262576
1990-03-06,33.38,33.5,33.0,33.5,157250.0,1.5151515151515151,0.35949670461353334
1990-03-07,33.5,33.5,32.62,32.62,99400.0,2.6977314530962677,-2.6268656716417986
1990-03-08,32.75,33.5,32.75,33.25,80833.0,2.2900763358778624,1.5267175572519083
1990-03-09,33.5,33.75,32.5,32.5,46067.0,3.8461538461538463,-2.9850746268656714
1990-03-12,32.5,33.0,32.5,32.75,37533.0,1.5384615384615385,0.7692307692307693
1990-03-13,32.62,32.87,31.5,31.88,52633.0,4.349206349206341,-2.2685469037400323
1990-03-14,31.75,31.75,30.87,31.12,78683.0,2.8506640751538677,-1.9842519685039337
1990-03-15,31.38,32.13,31.25,32.0,236233.0,2.8160000000000083,1.9757807520713864
1990-03-16,33.5,33.5,32.5,32.87,175700.0,3.076923076923077,-1.8805970149253808
1990-03-19,33.0,33.0,32.75,32.87,103817.0,0.7633587786259541,-0.3939393939394017
1990-03-20,33.0,33.13,32.75,32.87,74683.0,1.160305343511458,-0.3939393939394017
