Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,27.38,28.38,27.12,28.38,442400.0,4.646017699115037,3.6523009495982475
1990-01-03,28.38,28.38,27.5,27.75,289700.0,3.1999999999999966,-2.219873150105705
1990-01-04,27.5,27.75,26.75,27.5,324200.0,3.7383177570093453,0.0
1990-01-05,27.12,27.5,27.12,27.38,214000.0,1.4011799410029462,0.9587020648967479
1990-01-08,27.12,27.5,26.75,27.38,275400.0,2.803738317757009,0.9587020648967479
1990-01-09,27.5,27.62,26.88,26.88,620000.0,2.7529761904761982,-2.254545454545458
1990-01-10,27.0,27.12,26.62,27.12,370100.0,1.8782870022539442,0.4444444444444481
1990-01-11,27.12,27.12,26.75,27.0,340100.0,1.3831775700934617,-0.4424778761061983
1990-01-12,26.5,26.88,26.0,26.25,267900.0,3.384615384615381,-0.9433962264150944
1990-01-15,26.12,26.38,25.62,25.75,317700.0,2.966432474629188,-1.4165390505359916
1990-01-16,25.38,25.88,25.38,25.88,410900.0,1.9700551615445234,1.9700551615445234
1990-01-17,25.88,25.88,25.0,25.25,506500.0,3.519999999999996,-2.4343122102009236
1990-01-18,25.25,25.75,25.12,25.62,384700.0,2.5079617834394865,1.4653465346534693
1990-01-19,26.0,26.0,25.38,25.62,572800.0,2.442868400315213,-1.4615384615384577
1990-01-22,25.62,25.75,24.5,24.75,574300.0,5.1020408163265305,-3.3957845433255307
1990-01-23,24.88,25.0,24.0,24.12,788600.0,4.166666666666666,-3.054662379421214
1990-01-24,23.88,24.5,23.12,24.25,499600.0,5.968858131487885,1.5494137353433877
1990-01-25,24.62,24.75,24.12,24.75,516200.0,2.6119402985074585,0.5280259951259099
1990-01-26,24.75,24.88,24.0,24.5,471400.0,3.6666666666666625,-1.0101010101010102
1990-01-29,24.25,24.25,23.5,24.0,318500.0,3.1914893617021276,-1.0309278350515463
1990-01-30,24.12,24.25,23.62,23.88,299900.0,2.6672311600338654,-0.9950248756218987
1990-01-31,24.12,24.62,24.12,24.38,568400.0,2.0729684908789388,1.0779436152570396
1990-02-01,24.5,24.5,24.12,24.5,272400.0,1.5754560530679893,0.0
1990-02-02,24.5,25.12,24.5,25.0,556300.0,2.5306122448979633,2.0408163265306123
1990-02-05,25.0,25.25,24.62,24.88,575100.0,2.5588952071486553,-0.4800000000000039
1990-02-06,24.75,24.75,24.0,24.5,537600.0,3.125,-1.0101010101010102
1990-02-07,24.25,24.62,24.0,24.62,690500.0,2.5833333333333375,1.5257731958762926
