Date,Open,High,Low,Close,Volume,HML,PCT
1991-04-25,17.0,17.75,17.0,17.62,17400.0,4.411764705882353,3.647058823529418
1991-04-26,17.62,18.25,17.25,18.13,37800.0,5.797101449275362,2.8944381384789897
1991-04-29,18.13,19.0,18.0,18.0,30800.0,5.555555555555555,-0.7170435741864258
1991-04-30,18.0,18.0,17.0,17.75,26700.0,5.88235294117647,-1.3888888888888888
1991-05-01,17.75,17.75,17.0,17.25,1200.0,4.411764705882353,-2.8169014084507045
1991-05-02,17.25,17.5,17.25,17.5,26200.0,1.4492753623188406,1.4492753623188406
1991-05-03,17.5,17.75,17.25,17.25,19600.0,2.898550724637681,-1.4285714285714286
1991-05-06,17.25,17.75,17.25,17.38,16400.0,2.898550724637681,0.7536231884057913
1991-05-07,17.38,17.75,17.0,17.0,9600.0,4.411764705882353,-2.18642117376294
1991-05-08,17.0,17.75,17.0,17.75,1400.0,4.411764705882353,4.411764705882353
1991-05-09,17.75,17.75,17.0,17.0,10900.0,4.411764705882353,-4.225352112676056
1991-05-10,17.0,17.75,17.0,17.0,2500.0,4.411764705882353,0.0
1991-05-13,17.0,17.5,17.0,17.5,1700.0,2.941176470588235,2.941176470588235
1991-05-14,17.0,17.0,16.5,16.5,5400.0,3.0303030303030303,-2.941176470588235
1991-05-15,16.5,17.25,16.5,16.5,13300.0,4.545454545454546,0.0
1991-05-16,16.5,17.25,16.5,16.63,10200.0,4.545454545454546,0.7878787878787818
1991-05-17,16.63,17.0,16.5,16.88,13100.0,3.0303030303030303,1.503307276007216
1991-05-20,16.88,17.25,16.75,17.25,3800.0,2.9850746268656714,2.1919431279620913
1991-05-21,17.25,17.25,16.5,16.5,5300.0,4.545454545454546,-4.3478260869565215
1991-05-22,16.5,17.0,16.5,16.5,2700.0,3.0303030303030303,0.0
1991-05-23,16.5,17.25,16.5,16.75,3200.0,4.545454545454546,1.5151515151515151
1991-05-24,16.75,17.25,16.5,17.25,19500.0,4.545454545454546,2.9850746268656714
1991-05-28,17.25,17.75,17.0,17.38,23600.0,4.411764705882353,0.7536231884057913
1991-05-29,17.38,19.0,17.25,18.5,55500.0,10.144927536231885,6.444188722669741
1991-05-30,18.5,19.0,18.25,19.0,4800.0,4.10958904109589,2.7027027027027026
1991-05-31,18.75,18.75,18.25,18.25,3300.0,2.73972602739726,-2.666666666666667
1991-06-03,18.25,18.5,17.75,17.87,31600.0,4.225352112676056,-2.0821917808219124
1991-06-04,17.87,18.25,17.75,17.87,2900.0,2.8169014084507045,0.0
1991-06-05,17.87,18.25,17.75,18.25,900.0,2.8169014084507045,2.126468942361494
1991-06-06,18.25,18.25,17.75,18.0,1400.0,2.8169014084507045,-1.36986301369863
1991-06-07,18.0,18.25,17.75,17.87,4200.0,2.8169014084507045,-0.7222222222222168
1991-06-10,17.87,18.25,17.75,17.75,1600.0,2.8169014084507045,-0.6715165081141634
1991-06-11,17.75,18.25,17.75,17.75,4800.0,2.8169014084507045,0.0
1991-06-12,17.75,18.25,17.75,17.87,29900.0,2.8169014084507045,0.6760563380281746
1991-06-13,17.87,17.87,17.75,17.75,2500.0,0.6760563380281746,-0.6715165081141634
1991-06-14,17.75,18.25,17.75,18.25,6200.0,2.8169014084507045,2.8169014084507045
1991-06-17,18.25,18.25,18.25,18.25,100.0,0.0,0.0
1991-06-18,18.25,18.25,18.25,18.25,0.0,0.0,0.0
1991-06-19,18.13,18.13,17.5,17.75,10300.0,3.5999999999999943,-2.095973524544948
1991-06-20,17.75,18.0,17.5,17.5,4000.0,2.857142857142857,-1.4084507042253522
1991-06-21,17.5,17.5,17.0,17.0,11300.0,2.941176470588235,-2.857142857142857
1991-06-24,17.0,17.25,16.0,16.63,12900.0,7.8125,-2.1764705882352997
1991-06-25,16.75,16.75,16.75,16.75,1100.0,0.0,0.0
1991-06-26,16.75,17.0,16.25,16.5,7200.0,4.615384615384616,-1.4925373134328357
1991-06-27,16.5,17.0,16.0,16.25,2700.0,6.25,-1.5151515151515151
1991-06-28,16.25,17.0,16.0,16.0,8100.0,6.25,-1.5384615384615385
1991-07-01,16.25,17.0,16.25,17.0,41000.0,4.615384615384616,4.615384615384616
1991-07-02,17.0,17.0,17.0,17.0,400.0,0.0,0.0
1991-07-03,17.0,17.0,16.5,17.0,500.0,3.0303030303030303,0.0
1991-07-05,17.0,17.0,17.0,17.0,0.0,0.0,0.0
1991-07-08,16.75,16.75,16.75,16.75,500.0,0.0,0.0
1991-07-09,16.75,16.75,16.75,16.75,0.0,0.0,0.0
1991-07-10,17.0,17.75,17.0,17.25,14700.0,4.411764705882353,1.4705882352941175
1991-07-11,17.25,17.75,17.25,17.62,1500.0,2.898550724637681,2.1449275362318896
1991-07-12,17.25,17.25,17.25,17.25,1600.0,0.0,0.0
1991-07-15,17.25,18.0,17.25,17.25,4400.0,4.3478260869565215,0.0
1991-07-16,17.25,18.0,17.25,17.75,3200.0,4.3478260869565215,2.898550724637681
